name,municipality,code,coordinates
Biju Patnaik Airport,Bhubaneswar,BBI,"85.8178024292, 20.244400024399997"
Netaji Subhash Chandra Bose International Airport,Kolkata,CCU,"88.44670104980469, 22.654699325561523"
Cooch Behar Airport,,COH,"89.4672012329, 26.330499649"
Dhanbad Airport,,DBD,"86.42530059814453, 23.833999633789062"
Kazi Nazrul Islam Airport,Durgapur,RDP,"87.243, 23.6225"
Daporijo Airport,Daporijo,DEP,"94.22280120850002, 27.985500335699996"
Gorakhpur Airport,Gorakhpur,GOP,"83.4496994019, 26.739700317399997"
Lokpriya Gopinath Bordoloi International Airport,Guwahati,GAU,"91.58589935302734, 26.10610008239746"
Gaya Airport,,GAY,"84.95120239257812, 24.744300842285156"
Imphal Airport,Imphal,IMF,"93.896697998, 24.7600002289"
Jharsuguda Airport,,JRG,"84.0504, 21.9135"
Jeypore Airport,Jeypore,PYB,"82.552001953125, 18.8799991607666"
Sonari Airport,Jamshedpur,IXW,"86.1688, 22.8132"
Jorhat Airport,Jorhat,JRH,"94.1754989624, 26.7315006256"
Kamalpur Airport,,IXQ,"91.81420135498047, 24.13170051574707"
Kailashahar Airport,,IXH,"92.0072021484375, 24.30820083618164"
Silchar Airport,Silchar,IXS,"92.97869873050001, 24.9129009247"
Khowai Airport,Khowai,IXN,"91.603897, 24.061899"
Lengpui Airport,Aizawl,AJL,"92.6196975708, 23.840599060099997"
North Lakhimpur Airport,Lilabari,IXI,"94.09760284423828, 27.295499801635742"
Malda Airport,Malda,LDA,"88.133003, 25.033001"
Dibrugarh Airport,Dibrugarh,DIB,"95.0168991089, 27.4839000702"
Dimapur Airport,Dimapur,DMU,"93.77110290530001, 25.883899688699998"
Muzaffarpur Airport,,MZU,"85.3136978149414, 26.11910057067871"
Pasighat Airport,Pasighat,IXT,"95.33560180664062, 28.066099166870117"
Lok Nayak Jayaprakash Airport,Patna,PAT,"85.0879974365, 25.591299057"
Birsa Munda Airport,Ranchi,IXR,"85.3217010498, 23.314300537100003"
Rourkela Airport,,RRK,"84.814598, 22.256701"
Rupsi India Airport,,RUP,"89.91000366210938, 26.139699935913086"
Tezpur Airport,,TEZ,"92.78469848632812, 26.7091007232666"
Vishakhapatnam Airport,Visakhapatnam,VTZ,"83.224503, 17.721201"
Ziro Airport,Ziro,ZER,"93.828102, 27.588301"
Barisal Airport,Barisal,BZL,"90.30120086669922, 22.801000595092773"
Cox's Bazar Airport,Cox's Bazar,CXB,"91.96389770507812, 21.452199935913086"
Comilla Airport,Comilla,CLA,"91.189697265625, 23.43720054626465"
Shah Amanat International Airport,Chittagong,CGP,"91.81330108642578, 22.24959945678711"
Ishurdi Airport,Ishurdi,IRD,"89.04940032958984, 24.15250015258789"
Jessore Airport,Jashahor,JSR,"89.16079711914062, 23.183799743652344"
Lalmonirhat Airport,Lalmonirhat,LLJ,"89.43309783935547, 25.887500762939453"
Shah Mokhdum Airport,Rajshahi,RJH,"88.61650085449219, 24.43720054626465"
Saidpur Airport,Saidpur,SPD,"88.90889739990234, 25.759199142456055"
Thakurgaon Airport,Thakurgaon,TKR,"88.40360260009766, 26.016399383544922"
Shamshernagar Airport,Shamshernagar,ZHM,"91.8830032349, 24.416999816900002"
Osmany International Airport,Sylhet,ZYL,"91.8667984008789, 24.963199615478516"
Hazrat Shahjalal International Airport,Dhaka,DAC,"90.397783, 23.843347"
Hong Kong International Airport,Hong Kong,HKG,"113.915001, 22.308901"
Hong Kong International Airport Kai Tak,Hong Kong,HKG,"114.198074341, 22.3203040432"
Shun Tak Heliport,Hong Kong,HHP,"114.152153015, 22.2893714905"
Charlotte Amalie Harbor Seaplane Base,Charlotte Amalie St Thomas,SPB,"-64.9406967163086, 18.338600158691406"
Christiansted Harbor Seaplane Base,Christiansted St Croix,SSB,"-64.70490264892578, 17.74720001220703"
Agra Airport,,AGR,"77.96089935302734, 27.155799865722656"
Allahabad Airport,Allahabad,IXD,"81.733902, 25.4401"
Sri Guru Ram Dass Jee International Airport,Amritsar,ATQ,"74.7973022461, 31.7096004486"
Adampur Airport,Adampur,AIP,"75.758797, 31.4338"
Villa ConstituciÃ³n Airport,Ciudad ConstituciÃ³n,VIB,"-111.6874, 25.0552"
Nal Airport,Bikaner,BKB,"73.20719909667969, 28.070600509643555"
Lal Bahadur Shastri Airport,Varanasi,VNS,"82.859299, 25.4524"
Kullu Manali Airport,,KUU,"77.15440368652344, 31.876699447631836"
Bhatinda Air Force Station,,BUP,"74.75579833984375, 30.270099639892578"
Bareilly Air Force Station,Bareilly,BEK,"79.45079803470001, 28.4221000671"
Chandigarh Airport,Chandigarh,IXC,"76.78849792480469, 30.673500061035156"
Kanpur Airport,Kanpur,KNU,"80.410103, 26.404301"
Dehradun Airport,Dehradun,DED,"78.180298, 30.189699"
Indira Gandhi International Airport,New Delhi,DEL,"77.103104, 28.5665"
Vieste Airport,Vieste,VIF,"16.166667, 41.883317"
Kangra Airport,,DHM,"76.26339721679688, 32.16510009765625"
Gwalior Airport,Gwalior,GWL,"78.22779846191406, 26.29330062866211"
Hissar Airport,,HSS,"75.75530242919922, 29.179399490356445"
Jodhpur Airport,Jodhpur,JDH,"73.04889678955078, 26.251100540161133"
